file,seed,env_dim,planner,pair_index,num_test_positions,num_vertices,num_edges,discrete_path_cost,continuous_path_cost
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.0.pkl,0,2,BRM,0,200,165,567,10.68778594783526,22.696005494424316
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.1.pkl,0,2,BRM,1,203,165,567,19.507057086625153,16.130277611053366
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.2.pkl,0,2,BRM,2,206,165,567,11.37722765019771,7.945369668041428
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.3.pkl,0,2,BRM,3,202,165,567,18.845194845357096,9.00137108742484
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.4.pkl,0,2,BRM,4,200,165,567,8.427220537506079,4.603829351906951
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.5.pkl,0,2,BRM,5,200,165,567,10.154677229625984,10.18392781777018
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.6.pkl,0,2,BRM,6,100,79,131,6.930894848922723,27.011036715155004
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.7.pkl,0,2,BRM,7,200,165,567,8.580134434374168,14.676637590857624
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.8.pkl,0,2,BRM,8,205,165,567,12.688923281557072,7.789592424446542
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.9.pkl,0,2,BRM,9,200,165,567,11.811704454518814,5.52288447272927
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.10.pkl,0,2,BRM,10,100,79,131,6.792482426531906,4.758460347980803
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.11.pkl,0,2,BRM,11,200,165,567,12.772661106904025,8.25451794903181
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.12.pkl,0,2,BRM,12,100,79,131,3.7279627022885786,6.103908252382269
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.13.pkl,0,2,BRM,13,200,165,567,11.430654234955666,11.27867943535225
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_0/BRM-2d.14.pkl,0,2,BRM,14,200,165,567,13.181013738278228,17.327773436575516
