#id,x,y,z,radius
0,0,0,0,0.986691
1,0.493346,-0.8545,0,1.88577
2,0.493346,-2.74027,0,2.19277
3,1.58973,-4.63926,0,1.99644
4,-0.139242,-5.63748,0,1.09903
5,2.12647,0.0883853,0,1.01789
6,-0.603038,-4.63926,0,1.00689
7,3.58617,-4.63926,0,0.814971
8,4.29196,-5.04675,0,1.17769
9,5.46965,-5.04675,0,1.42635
10,6.7049,-5.75992,0,2.31676
11,6.7049,-8.07668,0,1.87847
12,7.64414,-9.70348,0,2.00231
13,5.91009,-10.7046,0,1.05491
14,8.71128,-4.60154,0,0.997822
15,9.37819,-10.7046,0,0.935117
16,9.57542,-4.10263,0,0.85164
17,10.313,-3.67681,0,1.09797
18,11.2638,-3.12783,0,1.69341
19,12.7304,-2.28112,0,2.25283
20,11.6039,-0.330116,0,2.27389
21,13.8778,-0.330116,0,1.97302
22,14.6814,-3.40753,0,1.43263
23,14.8643,1.37857,0,0.900407
24,15.3977,-4.64823,0,0.897805
25,8.64529,-7.96944,0,0.831214
26,8.64529,-7.13822,0,0.757623
27,10.188,-11.1722,0,0.749635
28,-1.13978,0.0883853,0,0.741068
29,4.99651,-11.2321,0,0.730877
30,4.36355,-11.5975,0,0.874012
31,3.48954,-11.5975,0,0.832641
32,2.6569,-11.5975,0,0.72185
33,2.03176,-11.9585,0,0.759099
34,1.27266,-11.9585,0,0.765382
35,10.9377,-11.1722,0,0.712311
36,0.507277,-11.9585,0,0.709419
37,11.5545,-10.816,0,0.7056
38,12.2601,-10.816,0,0.82403
39,13.0842,-10.816,0,0.840176
40,13.9243,-10.816,0,0.768175
41,14.6925,-10.816,0,0.75928
42,15.3501,-10.4364,0,1.09165
43,15.8959,-9.491,0,0.792475
44,15.8959,-8.69853,0,0.765521
45,3.00798,0.597328,0,0.686346
46,3.69433,0.597328,0,0.770702
47,4.46503,0.597328,0,0.808458
48,15.3977,-5.54603,0,0.685246
49,-0.202142,-11.9585,0,0.680741
50,15.3977,-6.23128,0,0.676731
51,15.3977,-6.90801,0,0.713815
52,15.7546,-7.52619,0,0.732124
53,8.64529,-11.4375,0,0.669711
54,15.3977,-2.16684,0,0.663842
55,9.6347,0.806828,0,0.623756
56,6.43755,-11.6182,0,0.587966
57,7.02551,-11.6182,0,0.589049
58,5.16518,0.193099,0,0.576378
59,-1.39242,-0.8545,0,0.522019
60,2.39234,-1.64389,0,0.498093
61,2.39234,-1.14579,0,0.518373
62,9.94658,1.34702,0,0.494489
63,5.36195,-11.8651,0,0.484684
64,7.64414,-11.7058,0,0.47862
65,5.16518,1.00156,0,0.463162
66,-1.39242,-1.37652,0,0.447104
67,13.8778,1.64291,0,0.428963
68,9.6347,-1.46706,0,0.411672
69,9.84054,-1.82358,0,0.546758
70,15.5865,-1.31663,0,0.403629
71,5.84663,-11.8651,0,0.401108
72,16.0159,-6.5511,0,0.395691
73,15.9911,-5.88865,0,0.393104
74,1.65535,-11.2956,0,0.391156
75,0.889968,-11.2956,0,0.373545
76,-1.09103,-6.187,0,0.372359
77,3.30898,-0.0701195,0,0.371799
78,16.2955,-10.9822,0,0.36822
79,13.4489,1.64291,0,0.354199
80,9.32283,1.34702,0,0.352855
81,12.7409,1.63913,0,0.345752
82,13.0403,1.46625,0,0.513971
83,11.5545,-11.5284,0,0.34346
84,10.3748,1.59426,0,0.335794
85,9.1496,-3.36509,0,0.322904
86,0.152568,-11.3441,0,0.321925
87,-0.904851,-6.50947,0,0.307658
88,9.42887,-1.11054,0,0.304289
89,0.507277,-11.249,0,0.301911
90,9.32283,0.26664,0,0.301775
91,1.27266,-11.1931,0,0.290337
92,-1.23827,-5.63748,0,0.28793
93,10.5628,-10.523,0,0.286903
94,16.4417,-10.4364,0,0.285121
95,16.4417,-10.1513,0,0.278266
96,9.22528,-11.7724,0,0.270309
97,9.45938,-11.6372,0,0.371148
98,8.86995,-3.52654,0,0.269794
99,15.0225,-7.52619,0,0.266115
100,-0.542512,-12.548,0,0.265907
101,5.38263,-9.79106,0,0.262792
102,5.61022,-9.65966,0,0.487588
103,9.32283,-0.0351348,0,0.261145
104,3.00798,-0.420557,0,0.260061
105,15.2329,-8.31577,0,0.258739
106,15.2329,-8.05703,0,0.317503
107,2.68916,-12.338,0,0.25503
108,12.6641,-11.5437,0,0.247142
109,-1.40565,-3.83665,0,0.244691
110,2.68611,-2.74027,0,0.244094
111,2.64138,-2.07525,0,0.241998
112,9.0241,-6.4821,0,0.239737
113,9.56716,-2.29708,0,0.239457
114,9.68689,-2.50446,0,0.374802
115,9.49949,-2.82905,0,0.273657
116,9.36266,-3.06604,0,0.257712
117,9.02166,-5.75992,0,0.236806
118,9.33006,-0.330116,0,0.235888
119,10.9377,-10.4599,0,0.233691
120,8.05864,-11.9451,0,0.22718
121,2.87795,-0.645776,0,0.223693
122,9.0241,-6.24236,0,0.222866
123,16.2137,-6.89378,0,0.220157
124,3.70311,-6.06666,0,0.218963
125,3.51349,-5.95718,0,0.333466
