#id1,id2
176,177
172,173
163,164
149,150
146,159
145,146
142,168
138,161
137,169
127,148
127,134
126,160
125,126
124,125
122,128
117,165
115,116
112,122
110,162
110,133
109,155
108,136
107,143
106,153
103,118
101,102
100,156
99,106
99,153
140,141
96,97
94,171
93,144
90,103
85,116
85,98
84,151
83,137
83,169
81,174
80,167
77,104
76,92
76,139
75,91
73,146
72,73
72,123
69,88
69,114
68,88
68,69
67,82
67,79
66,142
65,177
69,113
63,71
62,80
62,84
132,135
64,120
61,121
60,61
59,66
58,65
58,176
58,177
57,64
56,71
86,89
56,57
55,80
55,62
54,70
114,115
53,97
53,120
52,72
52,105
52,123
52,153
52,164
130,166
52,106
52,99
52,163
51,52
51,72
50,52
50,72
50,73
49,134
49,86
86,148
49,148
51,99
49,127
27,93
18,114
3,4
17,19
118,132
15,35
17,115
16,98
15,93
92,175
15,97
15,27
16,17
14,17
7,126
14,85
1,66
19,21
17,116
14,98
14,165
105,106
79,82
14,150
14,16
16,85
13,56
12,26
3,141
2,60
36,86
12,13
10,14
104,121
36,89
74,170
43,166
10,165
1,59
2,162
6,175
13,71
81,82
63,173
8,9
10,12
62,167
10,122
10,150
38,169
44,105
30,31
38,83
9,10
3,7
21,23
10,25
2,109
18,113
38,108
5,61
20,84
136,137
21,22
5,121
3,154
13,63
2,3
16,18
2,142
76,87
10,128
2,6
49,100
12,56
8,126
5,46
43,44
11,26
12,57
53,96
2,4
34,91
1,28
4,92
17,114
48,50
15,96
154,160
18,115
2,61
19,20
45,46
87,139
17,85
74,91
73,145
10,117
11,102
78,94
9,11
10,131
0,28
12,101
60,111
13,57
0,1
3,126
33,107
20,135
1,2
78,171
61,178
0,2
2,111
1,61
30,173
17,18
13,101
4,141
6,92
20,68
14,117
3,110
20,55
31,143
113,114
40,42
5,45
2,133
13,30
4,76
3,6
2,66
42,43
15,144
12,64
3,8
21,54
16,116
18,116
4,6
12,102
75,89
4,140
7,8
8,125
18,19
22,158
1,60
42,94
5,77
33,74
21,81
13,29
2,110
5,104
8,131
21,82
14,149
27,97
55,90
3,160
18,69
19,22
4,87
19,54
12,53
20,21
111,133
20,118
6,109
26,112
20,81
65,176
36,49
45,47
50,51
20,132
6,155
20,151
48,145
15,53
20,82
67,147
27,144
34,75
37,38
20,174
34,74
20,103
29,31
35,38
20,88
20,69
34,89
21,79
20,62
29,30
20,90
44,52
93,119
63,172
21,70
78,157
7,9
42,44
21,129
21,67
22,54
10,11
35,93
12,25
22,24
35,119
54,158
23,147
11,12
23,129
53,64
11,13
23,67
24,48
24,159
47,65
25,26
26,122
27,35
27,37
124,126
28,138
48,73
29,63
32,34
2,59
29,71
30,172
32,107
1,5
30,63
42,95
117,128
18,20
31,32
43,130
88,135
32,33
32,143
32,170
32,74
121,178
33,34
33,170
8,124
34,36
28,59
44,164
36,75
10,26
11,25
35,37
37,119
37,83
37,39
38,137
51,123
46,77
38,136
10,112
38,39
12,15
39,40
3,162
39,108
94,95
28,161
40,41
41,42
35,83
42,78
13,102
43,95
44,130
8,10
44,106
42,166
45,77
48,51
31,33
46,47
49,156
2,168
46,152
47,58
24,146
47,152
48,146
